COMUNA,TIPO DE ACCIDENTE,GRAVEDAD,MES,DIA SEMANA,NUMERO ACCIDENTE
Corregimiento de San Cristobal,Otro,HERIDO,03,JUEVES   ,2
San Javier,Caida ocupante,HERIDO,08,LUNES    ,3
Castilla,Choque,MUERTO,10,MIERCOLES,0
Guayabal,Caida ocupante,HERIDO,05,SABADO   ,4
Villa Hermosa,Atropello,HERIDO,02,DOMINGO  ,3
Corregimiento de Santa Elena,Otro,HERIDO,10,SABADO   ,1
Corregimiento de Santa Elena,Choque,SOLO DANOS,05,SABADO   ,1
El Poblado,Atropello,HERIDO,03,JUEVES   ,7
Corregimiento de Altavista,Otro,HERIDO,06,JUEVES   ,0
Castilla,Otro,HERIDO,09,DOMINGO  ,13
La Candelaria,Choque,SOLO DANOS,06,SABADO   ,168
Guayabal,Otro,HERIDO,04,JUEVES   ,7
Laureles Estadio,Atropello,HERIDO,06,MARTES   ,6
Aranjuez,Caida ocupante,HERIDO,06,VIERNES  ,12
Corregimiento de San Cristobal,Otro,HERIDO,09,SABADO   ,2
La Candelaria,Volcamiento,HERIDO,01,MIERCOLES,7
Popular,Atropello,HERIDO,01,DOMINGO  ,8
Doce de Octubre,Choque,SOLO DANOS,09,MARTES   ,9
Villa Hermosa,Otro,HERIDO,12,MARTES   ,6
El Poblado,Choque,HERIDO,06,JUEVES   ,33
Corregimiento de Altavista,Atropello,HERIDO,12,DOMINGO  ,1
Manrique,Atropello,HERIDO,11,SABADO   ,11
La Candelaria,Choque,MUERTO,12,VIERNES  ,0
Popular,Caida ocupante,HERIDO,09,SABADO   ,0
Villa Hermosa,Volcamiento,HERIDO,07,MARTES   ,1
Castilla,Choque,SOLO DANOS,05,VIERNES  ,79
Castilla,Atropello,HERIDO,04,DOMINGO  ,10
Guayabal,Choque,SOLO DANOS,02,SABADO   ,46
Doce de Octubre,Choque,HERIDO,12,MIERCOLES,8
Belen,Choque,HERIDO,03,JUEVES   ,21
Popular,Otro,HERIDO,04,MIERCOLES,1
Laureles Estadio,Otro,SOLO DANOS,04,SABADO   ,0
El Poblado,Otro,SOLO DANOS,08,LUNES    ,0
San Javier,Volcamiento,HERIDO,07,MIERCOLES,3
Corregimiento de San Cristobal,Choque,SOLO DANOS,11,JUEVES   ,0
Guayabal,Choque,HERIDO,02,SABADO   ,21
Robledo,Atropello,HERIDO,10,MARTES   ,5
Santa Cruz,Otro,HERIDO,04,DOMINGO  ,3
La America,Caida ocupante,HERIDO,06,DOMINGO  ,1
Belen,Choque,SOLO DANOS,03,MARTES   ,53
El Poblado,Otro,HERIDO,08,MIERCOLES,4
Belen,Choque,SOLO DANOS,11,LUNES    ,34
Laureles Estadio,Choque,SOLO DANOS,05,MARTES   ,111
La America,Choque,SOLO DANOS,04,MIERCOLES,20
Belen,Atropello,HERIDO,09,MARTES   ,12
La America,Volcamiento,HERIDO,10,SABADO   ,1
Robledo,Choque,SOLO DANOS,01,VIERNES  ,30
