COMUNA,TIPO DE ACCIDENTE,GRAVEDAD,MES,DIA SEMANA,NUMERO ACCIDENTE
Robledo,Atropello,HERIDO,04,DOMINGO  ,0
Robledo,Choque,HERIDO,12,SABADO   ,16
Laureles Estadio,Volcamiento,HERIDO,03,LUNES    ,5
El Poblado,Volcamiento,HERIDO,04,LUNES    ,2
Corregimiento de San Cristobal,Atropello,HERIDO,05,MARTES   ,0
Popular,Atropello,HERIDO,11,MIERCOLES,7
Corregimiento de Santa Elena,Caida ocupante,HERIDO,02,VIERNES  ,0
La Candelaria,Choque,HERIDO,10,MIERCOLES,68
Corregimiento de San Antonio de Prado,Atropello,HERIDO,03,SABADO   ,0
Guayabal,Atropello,HERIDO,04,SABADO   ,9
Buenos Aires,Caida ocupante,HERIDO,04,JUEVES   ,7
Aranjuez,Otro,HERIDO,03,VIERNES  ,11
Santa Cruz,Choque,SOLO DANOS,01,MARTES   ,8
MUERTO,Atropello,Malla vial,09,MIERCOLES,0
Robledo,Volcamiento,HERIDO,06,MARTES   ,6
Otro,Caida ocupante,HERIDO,11,LUNES    ,0
La America,Choque,SOLO DANOS,10,JUEVES   ,25
Corregimiento de Santa Elena,Otro,HERIDO,10,DOMINGO  ,0
Corregimiento de San Antonio de Prado,Caida ocupante,HERIDO,03,MARTES   ,1
Robledo,Choque,SOLO DANOS,02,LUNES    ,29
Doce de Octubre,Choque,HERIDO,07,JUEVES   ,5
Corregimiento de San Cristobal,Otro,HERIDO,09,DOMINGO  ,4
Laureles Estadio,Atropello,MUERTO,02,MARTES   ,0
Aranjuez,Choque,SOLO DANOS,02,LUNES    ,30
Laureles Estadio,Atropello,MUERTO,10,LUNES    ,0
Robledo,Otro,HERIDO,03,LUNES    ,15
Guayabal,Volcamiento,HERIDO,06,LUNES    ,2
La Candelaria,Otro,HERIDO,04,SABADO   ,22
Aranjuez,Atropello,HERIDO,06,MIERCOLES,6
Corregimiento de Santa Elena,Volcamiento,HERIDO,03,JUEVES   ,0
Castilla,Otro,HERIDO,06,MARTES   ,17
El Poblado,Otro,HERIDO,01,DOMINGO  ,2
El Poblado,Atropello,HERIDO,09,DOMINGO  ,0
Guayabal,Choque,SOLO DANOS,02,DOMINGO  ,18
Buenos Aires,Volcamiento,HERIDO,08,VIERNES  ,3
Laureles Estadio,Caida ocupante,HERIDO,09,MARTES   ,12
Aranjuez,Caida ocupante,HERIDO,04,JUEVES   ,8
La Candelaria,Atropello,HERIDO,09,VIERNES  ,30
Laureles Estadio,Volcamiento,HERIDO,05,SABADO   ,3
Robledo,Volcamiento,HERIDO,10,JUEVES   ,2
La Candelaria,Atropello,MUERTO,07,MARTES   ,1
El Poblado,Volcamiento,HERIDO,06,SABADO   ,3
Castilla,Atropello,HERIDO,01,MARTES   ,7
Santa Cruz,Choque,HERIDO,09,MARTES   ,1
Corregimiento de San Antonio de Prado,Otro,HERIDO,06,VIERNES  ,0
La America,Otro,HERIDO,11,JUEVES   ,1
Villa Hermosa,Otro,HERIDO,01,MIERCOLES,2
Belen,Choque,HERIDO,09,DOMINGO  ,18
Corregimiento de San Cristobal,Caida ocupante,HERIDO,08,MARTES   ,6
San Javier,Atropello,HERIDO,10,SABADO   ,8
Manrique,Caida ocupante,HERIDO,10,MIERCOLES,0
La Candelaria,Choque y Atropello,MUERTO,01,MARTES   ,0
La Candelaria,Caida ocupante,HERIDO,10,VIERNES  ,25
Aranjuez,Choque,HERIDO,12,JUEVES   ,17
San Javier,Choque,SOLO DANOS,01,VIERNES  ,4
Manrique,Choque,HERIDO,03,LUNES    ,10
Aranjuez,Atropello,HERIDO,01,LUNES    ,7
Laureles Estadio,Atropello,MUERTO,12,SABADO   ,0
Buenos Aires,Choque,HERIDO,07,MIERCOLES,4
Guayabal,Atropello,HERIDO,10,MARTES   ,9
Robledo,Otro,HERIDO,05,SABADO   ,16
Santa Cruz,Atropello,HERIDO,08,VIERNES  ,4
Belen,Caida ocupante,HERIDO,05,DOMINGO  ,6
Guayabal,Volcamiento,HERIDO,08,SABADO   ,3
Laureles Estadio,Choque,HERIDO,07,DOMINGO  ,24
Corregimiento de Santa Elena,Otro,HERIDO,02,VIERNES  ,0
Laureles Estadio,Otro,HERIDO,05,VIERNES  ,15
La Candelaria,Choque,SOLO DANOS,10,VIERNES  ,254
Corregimiento de San Cristobal,Choque,HERIDO,06,MARTES   ,2
Corregimiento de San Cristobal,Volcamiento,HERIDO,04,LUNES    ,0
Corregimiento de San Cristobal,Caida ocupante,HERIDO,12,JUEVES   ,1
Corregimiento de Altavista,Choque,SOLO DANOS,07,DOMINGO  ,0
Robledo,Choque,HERIDO,07,MARTES   ,16
Castilla,Caida ocupante,HERIDO,08,MIERCOLES,20
El Poblado,Choque,SOLO DANOS,07,LUNES    ,72
Castilla,Atropello,HERIDO,11,SABADO   ,3
La Candelaria,Volcamiento,HERIDO,08,MARTES   ,8
Otro,Choque,SOLO DANOS,05,DOMINGO  ,0
Buenos Aires,Choque,SOLO DANOS,05,DOMINGO  ,19
Corregimiento de Altavista,Atropello,HERIDO,02,JUEVES   ,0
Corregimiento de San Antonio de Prado,Atropello,HERIDO,06,LUNES    ,2
Laureles Estadio,Choque,HERIDO,10,VIERNES  ,49
Santa Cruz,Caida ocupante,HERIDO,08,JUEVES   ,0
El Poblado,Volcamiento,HERIDO,12,MARTES   ,5
Guayabal,Atropello,HERIDO,07,LUNES    ,4
Manrique,Otro,HERIDO,05,MARTES   ,3
La Candelaria,Choque,SOLO DANOS,01,MIERCOLES,136
Buenos Aires,Choque,HERIDO,02,LUNES    ,12
Corregimiento de San Cristobal,Choque,HERIDO,10,JUEVES   ,4
Corregimiento de San Cristobal,Otro,HERIDO,04,MIERCOLES,1
Manrique,Choque,HERIDO,05,SABADO   ,5
Santa Cruz,Otro,HERIDO,11,SABADO   ,2
Robledo,Choque,HERIDO,11,JUEVES   ,22
San Javier,Choque,HERIDO,01,MARTES   ,4
Corregimiento de Altavista,Atropello,HERIDO,08,SABADO   ,0
Popular,Caida ocupante,HERIDO,04,MIERCOLES,3
La Candelaria,Otro,HERIDO,07,LUNES    ,24
Guayabal,Otro,HERIDO,05,MIERCOLES,14
Castilla,Caida ocupante,HERIDO,03,LUNES    ,16
Los Mangos,Choque,MUERTO,05,MIERCOLES,0
Corregimiento de San Cristobal,Choque,SOLO DANOS,09,VIERNES  ,4
Manrique,Volcamiento,HERIDO,01,MARTES   ,2
Corregimiento de San Antonio de Prado,Atropello,HERIDO,02,JUEVES   ,1
Guayabal,Atropello,HERIDO,03,JUEVES   ,1
Robledo,Atropello,HERIDO,09,DOMINGO  ,4
La America,Choque,HERIDO,10,MARTES   ,19
Robledo,Otro,HERIDO,11,MARTES   ,14
Popular,Volcamiento,HERIDO,10,MIERCOLES,1
Laureles Estadio,Volcamiento,HERIDO,08,LUNES    ,1
Corregimiento de San Antonio de Prado,Volcamiento,SOLO DANOS,04,VIERNES  ,0
Villa Hermosa,Choque,SOLO DANOS,12,MIERCOLES,11
San Javier,Atropello,MUERTO,04,DOMINGO  ,0
Buenos Aires,Otro,HERIDO,02,LUNES    ,4
Buenos Aires,Atropello,HERIDO,02,MARTES   ,4
Laureles Estadio,Choque,MUERTO,05,LUNES    ,0
Corregimiento de Altavista,Volcamiento,HERIDO,02,SABADO   ,1
Corregimiento de Santa Elena,Caida ocupante,HERIDO,07,VIERNES  ,0
Santa Cruz,Volcamiento,HERIDO,05,MIERCOLES,0
Corregimiento de San Antonio de Prado,Atropello,HERIDO,08,SABADO   ,1
San Javier,Atropello,HERIDO,05,MARTES   ,5
Guayabal,Choque,MUERTO,01,LUNES    ,0
Santa Cruz,Choque,SOLO DANOS,06,MARTES   ,0
Guayabal,Atropello,HERIDO,09,SABADO   ,9
Doce de Octubre,Choque,HERIDO,10,DOMINGO  ,7
Aranjuez,Otro,HERIDO,08,VIERNES  ,9
La Candelaria,Otro,HERIDO,03,JUEVES   ,29
Buenos Aires,Choque,HERIDO,04,SABADO   ,18
Corregimiento de San Cristobal,Choque,SOLO DANOS,12,MIERCOLES,2
Laureles Estadio,Atropello,HERIDO,11,MIERCOLES,9
Popular,Otro,HERIDO,02,DOMINGO  ,4
Robledo,Choque,SOLO DANOS,07,LUNES    ,24
Corregimiento de Altavista,Otro,HERIDO,02,LUNES    ,0
Popular,Volcamiento,SOLO DANOS,07,MARTES   ,0
Villa Hermosa,Atropello,HERIDO,04,MARTES   ,5
Manrique,Choque,MUERTO,10,DOMINGO  ,1
Belen,Choque,SOLO DANOS,05,VIERNES  ,59
Villa Hermosa,Atropello,HERIDO,12,LUNES    ,5
Aranjuez,Choque,SOLO DANOS,07,LUNES    ,29
El Poblado,Volcamiento,HERIDO,05,JUEVES   ,2
Robledo,Otro,HERIDO,08,LUNES    ,18
Corregimiento de Santa Elena,Caida ocupante,HERIDO,10,MIERCOLES,0
La Candelaria,Otro,HERIDO,09,SABADO   ,17
Brasilia,Choque,MUERTO,07,SABADO   ,0
El Poblado,Choque,HERIDO,02,LUNES    ,31
Castilla,Caida ocupante,HERIDO,05,SABADO   ,4
El Poblado,Otro,HERIDO,06,DOMINGO  ,6
La Candelaria,Choque,MUERTO,01,DOMINGO  ,2
Guayabal,Choque,SOLO DANOS,07,DOMINGO  ,13
Manrique,Choque,HERIDO,11,MARTES   ,8
Popular,Choque,HERIDO,02,JUEVES   ,2
Popular,Atropello,HERIDO,03,MARTES   ,7
Manrique,Volcamiento,HERIDO,11,SABADO   ,1
Aranjuez,Caida ocupante,HERIDO,09,JUEVES   ,9
Popular,Atropello,HERIDO,11,LUNES    ,3
La America,Otro,HERIDO,02,DOMINGO  ,4
La Candelaria,Choque,HERIDO,02,MARTES   ,73
Castilla,Atropello,HERIDO,06,MARTES   ,12
Buenos Aires,Otro,HERIDO,04,SABADO   ,5
La Candelaria,Choque,HERIDO,10,LUNES    ,79
Buenos Aires,Atropello,HERIDO,12,SABADO   ,1
Corregimiento de San Antonio de Prado,Caida ocupante,HERIDO,12,JUEVES   ,1
Manrique,Choque,SOLO DANOS,05,VIERNES  ,16
Aranjuez,Choque,HERIDO,03,DOMINGO  ,20
Villa Hermosa,Otro,HERIDO,06,MIERCOLES,2
Corregimiento de San Cristobal,Otro,HERIDO,01,SABADO   ,2
La America,Choque,HERIDO,03,JUEVES   ,13
Doce de Octubre,Choque,SOLO DANOS,01,MARTES   ,8
Laureles Estadio,Caida ocupante,HERIDO,04,DOMINGO  ,13
Robledo,Otro,HERIDO,04,JUEVES   ,13
Corregimiento de Santa Elena,Atropello,HERIDO,06,VIERNES  ,1
Robledo,Caida ocupante,HERIDO,05,DOMINGO  ,22
El Poblado,Atropello,HERIDO,01,SABADO   ,3
Robledo,Choque,SOLO DANOS,09,SABADO   ,44
San Javier,Choque,SOLO DANOS,06,VIERNES  ,11
Manrique,Choque,HERIDO,08,LUNES    ,9
Aranjuez,Atropello,HERIDO,06,LUNES    ,10
Doce de Octubre,Choque,HERIDO,02,VIERNES  ,9
Popular,Choque,SOLO DANOS,09,MARTES   ,3
Aranjuez,Choque,SOLO DANOS,09,SABADO   ,38
Otro,Choque,HERIDO,04,VIERNES  ,1
Buenos Aires,Choque,HERIDO,10,MARTES   ,4
El Poblado,Choque,HERIDO,04,SABADO   ,20
Robledo,Atropello,HERIDO,04,MIERCOLES,3
Corregimiento de San Cristobal,Volcamiento,HERIDO,09,LUNES    ,0
Belen,Choque,HERIDO,01,SABADO   ,27
Corregimiento de Altavista,Caida ocupante,HERIDO,07,DOMINGO  ,0
Corregimiento de Altavista,Choque,HERIDO,06,DOMINGO  ,0
Villa Hermosa,Caida ocupante,HERIDO,12,MIERCOLES,6
Castilla,Volcamiento,HERIDO,02,DOMINGO  ,8
Santa Cruz,Volcamiento,HERIDO,02,SABADO   ,0
La Candelaria,Choque,HERIDO,12,SABADO   ,65
Villa Hermosa,Otro,HERIDO,01,LUNES    ,3
La Candelaria,Atropello,MUERTO,03,DOMINGO  ,0
Belen,Volcamiento,HERIDO,11,MARTES   ,1
Manrique,Caida ocupante,HERIDO,02,MARTES   ,2
Castilla,Caida ocupante,HERIDO,11,MARTES   ,17
Corregimiento de San Antonio de Prado,Choque,SOLO DANOS,12,DOMINGO  ,3
Manrique,Caida ocupante,HERIDO,10,LUNES    ,1
Manrique,Choque,HERIDO,04,JUEVES   ,5
La America,Caida ocupante,HERIDO,12,JUEVES   ,4
Corregimiento de Altavista,Volcamiento,HERIDO,05,LUNES    ,0
El Poblado,Caida ocupante,HERIDO,03,DOMINGO  ,4
Guayabal,Caida ocupante,HERIDO,05,MIERCOLES,6
Castilla,Volcamiento,SOLO DANOS,10,JUEVES   ,0
Doce de Octubre,Choque,SOLO DANOS,11,SABADO   ,6
Corregimiento de Santa Elena,Otro,HERIDO,10,MIERCOLES,1
Buenos Aires,Otro,HERIDO,10,MARTES   ,11
La Candelaria,Choque,SOLO DANOS,06,MIERCOLES,197
Buenos Aires,Choque,HERIDO,07,LUNES    ,13
Corregimiento de San Cristobal,Volcamiento,HERIDO,05,JUEVES   ,2
Corregimiento de San Cristobal,Otro,HERIDO,09,MIERCOLES,0
Corregimiento de Altavista,Caida ocupante,HERIDO,10,VIERNES  ,1
Guayabal,Choque,HERIDO,11,VIERNES  ,30
San Javier,Caida ocupante,HERIDO,03,SABADO   ,3
Aranjuez,Atropello,HERIDO,08,SABADO   ,18
San Javier,Choque,HERIDO,06,MARTES   ,5
Manrique,Atropello,HERIDO,11,MIERCOLES,6
Popular,Caida ocupante,HERIDO,09,MIERCOLES,3
Guayabal,Choque,SOLO DANOS,02,MIERCOLES,56
Guayabal,Atropello,MUERTO,06,VIERNES  ,0
Castilla,Caida ocupante,HERIDO,08,LUNES    ,20
Guayabal,Volcamiento,SOLO DANOS,09,DOMINGO  ,0
In,Choque,SOLO DANOS,10,SABADO   ,2
Manrique,Volcamiento,HERIDO,06,MARTES   ,0
Corregimiento de San Antonio de Prado,Atropello,HERIDO,07,JUEVES   ,4
Doce de Octubre,Atropello,HERIDO,01,VIERNES  ,7
Guayabal,Atropello,HERIDO,08,JUEVES   ,7
Villa Hermosa,Otro,HERIDO,03,SABADO   ,4
Santa Cruz,Atropello,HERIDO,03,MARTES   ,1
Belen,Otro,SOLO DANOS,03,LUNES    ,0
Santa Cruz,Atropello,HERIDO,11,LUNES    ,5
Buenos Aires,Choque,HERIDO,03,JUEVES   ,15
El Poblado,Choque,HERIDO,10,MARTES   ,18
Guayabal,Choque,HERIDO,02,MIERCOLES,30
Buenos Aires,Otro,HERIDO,07,LUNES    ,7
Corregimiento de Altavista,Volcamiento,HERIDO,07,SABADO   ,0
Castilla,Choque,SOLO DANOS,10,DOMINGO  ,48
Corregimiento de San Cristobal,Otro,HERIDO,04,LUNES    ,5
La Candelaria,Otro,HERIDO,08,JUEVES   ,34
Corregimiento de San Antonio de Prado,Choque,SOLO DANOS,04,VIERNES  ,2
La America,Volcamiento,HERIDO,10,MIERCOLES,2
Buenos Aires,Choque,HERIDO,09,SABADO   ,12
Castilla,Caida ocupante,HERIDO,04,JUEVES   ,18
Manrique,Otro,HERIDO,01,DOMINGO  ,5
Manrique,Atropello,MUERTO,11,JUEVES   ,0
El Poblado,Atropello,HERIDO,04,LUNES    ,5
Corregimiento de San Antonio de Prado,Otro,HERIDO,11,SABADO   ,0
Popular,Otro,HERIDO,07,DOMINGO  ,0
Belen,Caida ocupante,HERIDO,05,MIERCOLES,8
Manrique,Volcamiento,HERIDO,10,JUEVES   ,2
Robledo,Atropello,HERIDO,01,SABADO   ,13
In,Atropello,HERIDO,09,VIERNES  ,1
Guayabal,Otro,HERIDO,05,LUNES    ,20
Laureles Estadio,Volcamiento,HERIDO,09,JUEVES   ,8
Villa Hermosa,Atropello,HERIDO,09,MARTES   ,3
Robledo,Volcamiento,HERIDO,06,DOMINGO  ,4
Buenos Aires,Otro,HERIDO,03,JUEVES   ,5
Buenos Aires,Atropello,HERIDO,11,JUEVES   ,4
Otro,Caida ocupante,HERIDO,03,DOMINGO  ,0
El Poblado,Choque,HERIDO,07,LUNES    ,22
Popular,Volcamiento,HERIDO,10,LUNES    ,1
Popular,Atropello,HERIDO,08,MARTES   ,2
Belen,Choque,HERIDO,04,LUNES    ,39
La America,Atropello,HERIDO,01,DOMINGO  ,1
La America,Otro,HERIDO,07,DOMINGO  ,3
La Candelaria,Choque,HERIDO,07,MARTES   ,86
Buenos Aires,Otro,HERIDO,09,SABADO   ,9
Guayabal,Volcamiento,HERIDO,10,DOMINGO  ,3
Laureles Estadio,Otro,HERIDO,10,SABADO   ,11
Popular,Otro,HERIDO,10,VIERNES  ,1
Corregimiento de Altavista,Otro,HERIDO,03,JUEVES   ,0
Aranjuez,Choque,HERIDO,08,DOMINGO  ,21
Corregimiento de San Cristobal,Choque,SOLO DANOS,04,MARTES   ,0
Corregimiento de San Cristobal,Choque,SOLO DANOS,12,LUNES    ,4
Aranjuez,Choque,SOLO DANOS,08,JUEVES   ,29
Corregimiento de San Cristobal,Otro,HERIDO,06,SABADO   ,4
Doce de Octubre,Choque,SOLO DANOS,06,MARTES   ,7
Laureles Estadio,Caida ocupante,HERIDO,09,DOMINGO  ,7
Robledo,Otro,HERIDO,09,JUEVES   ,22
El Poblado,Choque,HERIDO,03,JUEVES   ,30
Robledo,Choque,MUERTO,01,LUNES    ,1
Castilla,Choque,SOLO DANOS,02,VIERNES  ,68
La America,Choque,SOLO DANOS,10,VIERNES  ,19
El Poblado,Atropello,HERIDO,06,SABADO   ,2
Corregimiento de Santa Elena,Caida ocupante,HERIDO,02,MARTES   ,2
Popular,Atropello,HERIDO,12,JUEVES   ,4
La Candelaria,Choque,HERIDO,11,JUEVES   ,80
Santa Cruz,Volcamiento,HERIDO,01,JUEVES   ,0
Otro,Choque,HERIDO,09,VIERNES  ,0
El Poblado,Choque,HERIDO,09,SABADO   ,20
Popular,Volcamiento,HERIDO,12,SABADO   ,0
San Javier,Otro,HERIDO,11,DOMINGO  ,0
Robledo,Atropello,HERIDO,09,MIERCOLES,12
Manrique,Caida ocupante,MUERTO,06,DOMINGO  ,0
Belen,Choque,HERIDO,06,SABADO   ,28
In,Choque,SOLO DANOS,05,MARTES   ,0
La America,Caida ocupante,HERIDO,03,DOMINGO  ,1
La America,Choque,SOLO DANOS,01,MIERCOLES,22
Villa Hermosa,Otro,HERIDO,06,LUNES    ,6
Belen,Atropello,HERIDO,06,MARTES   ,12
Manrique,Caida ocupante,HERIDO,07,MARTES   ,2
Manrique,Choque,HERIDO,09,JUEVES   ,16
San Javier,Caida ocupante,HERIDO,02,JUEVES   ,2
El Poblado,Caida ocupante,HERIDO,08,DOMINGO  ,5
Villa Hermosa,Choque,HERIDO,04,DOMINGO  ,14
Otro,Choque,HERIDO,12,MIERCOLES,0
Belen,Caida ocupante,HERIDO,02,SABADO   ,8
Guayabal,Volcamiento,HERIDO,02,VIERNES  ,2
Robledo,Choque,MUERTO,03,SABADO   ,0
El Poblado,Choque,SOLO DANOS,11,DOMINGO  ,34
Castilla,Otro,HERIDO,10,VIERNES  ,15
Doce de Octubre,Volcamiento,HERIDO,12,DOMINGO  ,1
Corregimiento de San Antonio de Prado,Choque,HERIDO,05,VIERNES  ,3
Corregimiento de Santa Elena,Caida ocupante,HERIDO,12,SABADO   ,0
Corregimiento de Altavista,Choque,SOLO DANOS,04,SABADO   ,0
Aranjuez,Choque,MUERTO,10,MARTES   ,0
Robledo,Volcamiento,HERIDO,01,MIERCOLES,3
Corregimiento de San Cristobal,Otro,HERIDO,12,MARTES   ,0
La Candelaria,Volcamiento,SOLO DANOS,02,DOMINGO  ,0
Robledo,Atropello,HERIDO,04,LUNES    ,6
Castilla,Volcamiento,HERIDO,10,VIERNES  ,3
La Candelaria,Atropello,MUERTO,11,VIERNES  ,0
Villa Hermosa,Otro,HERIDO,02,JUEVES   ,4
Aranjuez,Volcamiento,HERIDO,04,DOMINGO  ,2
Guayabal,Choque,SOLO DANOS,07,MIERCOLES,50
La Candelaria,Caida ocupante,HERIDO,10,MARTES   ,24
Villa Hermosa,Caida ocupante,HERIDO,04,MARTES   ,5
Villa Hermosa,Caida ocupante,HERIDO,12,LUNES    ,6
El Poblado,Atropello,HERIDO,12,MARTES   ,5
El Poblado,Caida ocupante,HERIDO,11,VIERNES  ,10
Corregimiento de Altavista,Volcamiento,HERIDO,06,JUEVES   ,0
La America,Otro,HERIDO,02,MIERCOLES,5
Buenos Aires,Volcamiento,HERIDO,12,JUEVES   ,3
San Javier,Choque,SOLO DANOS,01,MARTES   ,7
Corregimiento de San Cristobal,Caida ocupante,HERIDO,12,VIERNES  ,0
Doce de Octubre,Atropello,HERIDO,06,VIERNES  ,9
Belen,Choque,SOLO DANOS,10,SABADO   ,62
Guayabal,Caida ocupante,HERIDO,05,LUNES    ,7
Villa Hermosa,Otro,HERIDO,08,SABADO   ,4
Castilla,Otro,HERIDO,01,MIERCOLES,16
Buenos Aires,Choque,HERIDO,08,JUEVES   ,15
Aranjuez,Choque,HERIDO,03,MIERCOLES,32
San Javier,Otro,HERIDO,03,VIERNES  ,5
Corregimiento de Santa Elena,Otro,HERIDO,02,MARTES   ,0
Guayabal,Choque,HERIDO,07,MIERCOLES,26
La Candelaria,Otro,HERIDO,11,DOMINGO  ,18
0,Volcamiento,HERIDO,08,LUNES    ,0
Corregimiento de Santa Elena,Choque,SOLO DANOS,05,LUNES    ,0
Laureles Estadio,Caida ocupante,HERIDO,04,MIERCOLES,13
Laureles Estadio,Otro,HERIDO,05,MARTES   ,31
Doce de Octubre,Otro,HERIDO,04,DOMINGO  ,9
Corregimiento de San Antonio de Prado,Otro,HERIDO,10,JUEVES   ,0
Belen,Choque,HERIDO,12,MARTES   ,26
La Candelaria,Choque,SOLO DANOS,06,LUNES    ,115
Doce de Octubre,Caida ocupante,HERIDO,05,VIERNES  ,9
Santa Cruz,Caida ocupante,HERIDO,10,MIERCOLES,0
Manrique,Volcamiento,HERIDO,01,DOMINGO  ,4
La America,Choque,HERIDO,10,DOMINGO  ,9
Laureles Estadio,Volcamiento,HERIDO,12,DOMINGO  ,2
Corregimiento de San Antonio de Prado,Choque,SOLO DANOS,09,VIERNES  ,4
Manrique,Atropello,HERIDO,03,MARTES   ,8
Castilla,Caida ocupante,HERIDO,09,JUEVES   ,18
Manrique,Atropello,HERIDO,11,LUNES    ,5
Popular,Caida ocupante,HERIDO,09,LUNES    ,5
Buenos Aires,Atropello,HERIDO,02,DOMINGO  ,4
Corregimiento de San Cristobal,Choque,HERIDO,10,VIERNES  ,1
Guayabal,Choque,SOLO DANOS,02,LUNES    ,59
Corregimiento de San Cristobal,Caida ocupante,HERIDO,03,MIERCOLES,5
Manrique,Choque,SOLO DANOS,10,SABADO   ,15
Robledo,Atropello,HERIDO,06,SABADO   ,9
Santa Cruz,Atropello,HERIDO,12,JUEVES   ,8
Buenos Aires,Caida ocupante,HERIDO,08,VIERNES  ,5
El Poblado,Choque,SOLO DANOS,03,VIERNES  ,85
Corregimiento de Santa Elena,Atropello,HERIDO,11,SABADO   ,0
Laureles Estadio,Choque,HERIDO,10,MARTES   ,57
San Javier,Atropello,HERIDO,05,DOMINGO  ,2
La Candelaria,Volcamiento,HERIDO,12,VIERNES  ,9
Buenos Aires,Otro,HERIDO,08,JUEVES   ,5
Doce de Octubre,Volcamiento,HERIDO,04,VIERNES  ,3
Popular,Volcamiento,HERIDO,07,MARTES   ,0
Villa Hermosa,Choque,SOLO DANOS,09,MARTES   ,9
Corregimiento de Altavista,Choque,SOLO DANOS,10,MARTES   ,0
San Javier,Choque,SOLO DANOS,11,SABADO   ,8
Robledo,Choque,SOLO DANOS,11,DOMINGO  ,8
Corregimiento de San Cristobal,Otro,HERIDO,05,JUEVES   ,1
Guayabal,Choque,HERIDO,02,LUNES    ,43
La America,Atropello,HERIDO,06,DOMINGO  ,1
Corregimiento de San Antonio de Prado,Atropello,HERIDO,02,VIERNES  ,0
Guayabal,Caida ocupante,HERIDO,07,SABADO   ,11
Corregimiento de San Antonio de Prado,Choque,SOLO DANOS,12,MIERCOLES,6
Aranjuez,Choque,SOLO DANOS,11,DOMINGO  ,26
Corregimiento de San Cristobal,Choque,HERIDO,01,MIERCOLES,3
Corregimiento de Altavista,Otro,HERIDO,08,JUEVES   ,1
La America,Volcamiento,HERIDO,10,LUNES    ,0
Corregimiento de San Cristobal,Choque,SOLO DANOS,09,MARTES   ,2
Robledo,Choque,HERIDO,02,MIERCOLES,32
Belen,Otro,HERIDO,01,DOMINGO  ,4
Buenos Aires,Caida ocupante,HERIDO,11,MIERCOLES,3
Laureles Estadio,Atropello,HERIDO,08,MARTES   ,13
Belen,Caida ocupante,HERIDO,05,LUNES    ,8
El Poblado,Choque,HERIDO,08,JUEVES   ,36
La Candelaria,Otro,HERIDO,03,VIERNES  ,18
Castilla,Choque,SOLO DANOS,07,VIERNES  ,62
Castilla,Atropello,MUERTO,02,SABADO   ,0
Guayabal,Choque,SOLO DANOS,04,SABADO   ,45
Belen,Choque,HERIDO,05,JUEVES   ,19
Corregimiento de Altavista,Choque,SOLO DANOS,07,LUNES    ,0
Laureles Estadio,Volcamiento,HERIDO,04,VIERNES  ,3
Castilla,Choque,HERIDO,01,VIERNES  ,36
In,Choque,HERIDO,10,VIERNES  ,0
Laureles Estadio,Choque,MUERTO,01,VIERNES  ,0
San Javier,Volcamiento,HERIDO,09,MIERCOLES,1
Aranjuez,Caida ocupante,HERIDO,11,MIERCOLES,11
Laureles Estadio,Caida ocupante,HERIDO,01,SABADO   ,10
Robledo,Atropello,HERIDO,12,MARTES   ,5
Aranjuez,Atropello,HERIDO,10,DOMINGO  ,17
La America,Caida ocupante,HERIDO,08,DOMINGO  ,0
Santa Cruz,Otro,HERIDO,06,DOMINGO  ,0
Belen,Caida ocupante,HERIDO,01,JUEVES   ,4
Santa Cruz,Choque,SOLO DANOS,10,VIERNES  ,9
Belen,Choque,SOLO DANOS,05,MARTES   ,46
Laureles Estadio,Choque,HERIDO,03,JUEVES   ,51
Robledo,Caida ocupante,HERIDO,02,SABADO   ,9
Castilla,Choque,SOLO DANOS,10,MIERCOLES,55
La America,Choque,SOLO DANOS,06,MIERCOLES,14
AU,Choque,MUERTO,09,MARTES   ,0
Robledo,Choque,SOLO DANOS,03,VIERNES  ,31
Corregimiento de Altavista,Choque,SOLO DANOS,03,JUEVES   ,0
San Javier,Caida ocupante,HERIDO,07,JUEVES   ,0
Villa Hermosa,Choque,HERIDO,09,DOMINGO  ,4
Aranjuez,Choque,SOLO DANOS,03,VIERNES  ,30
Corregimiento de San Cristobal,Atropello,HERIDO,05,MIERCOLES,0
Aranjuez,Otro,HERIDO,12,JUEVES   ,6
Belen,Caida ocupante,HERIDO,07,SABADO   ,8
Otro,Choque,SOLO DANOS,01,JUEVES   ,0
Guayabal,Volcamiento,HERIDO,07,VIERNES  ,0
Belen,Volcamiento,SOLO DANOS,03,DOMINGO  ,0
Belen,Volcamiento,HERIDO,11,DOMINGO  ,1
Manrique,Choque,SOLO DANOS,05,MARTES   ,11
Corregimiento de Altavista,Choque,SOLO DANOS,09,SABADO   ,0
La Candelaria,Otro,SOLO DANOS,06,MARTES   ,0
Corregimiento de Altavista,Choque,HERIDO,03,SABADO   ,0
Buenos Aires,Volcamiento,HERIDO,03,DOMINGO  ,2
Buenos Aires,Choque,SOLO DANOS,01,JUEVES   ,22
Robledo,Volcamiento,HERIDO,06,MIERCOLES,6
La America,Volcamiento,SOLO DANOS,08,MARTES   ,0
Otro,Caida ocupante,HERIDO,03,MIERCOLES,0
Robledo,Atropello,HERIDO,09,LUNES    ,8
Villa Hermosa,Otro,HERIDO,07,JUEVES   ,3
La Candelaria,Atropello,HERIDO,04,DOMINGO  ,17
